context,triplets,subject,object,relation
"During the turbulent period last year-end in the capital , the demonstrations against the rape and murder of a 23 - year-old paramedical student reached the gates of Rashtrapati Bhavan seeking his intervention .",<triplet> against the rape and murder of a 23 - year-old paramedical student <subj> the demonstrations <obj> cause,against the rape and murder of a 23 - year-old paramedical student,the demonstrations,cause
The company has also announced that it will be investing in new technology to improve customer service and increase efficiency.,<triplet> technology <subj> improve <obj> enable,technology,improve,enable
"Since KKR bought RJR in February for $25 billion of debt, it has agreed to sell nearly $5 billion of RJR assets. ",<triplet> bought <subj> agreed <obj> cause,bought,agreed,cause
"The CPI(M) leader said that while CPI(M) workers were the victims of RSS attacks at Thalassery and Malampuzha , the UDF was organising a Shanthi Yatra ( a foot march for peace by the Congress ) to target the CPI(M) as perpetrators of violence .",<triplet> to target the CPI(M) as perpetrators of violence <subj> the UDF was organising a Shanthi Yatra ( a foot march for peace by the Congress ) <obj> cause,to target the CPI(M) as perpetrators of violence,the UDF was organising a Shanthi Yatra ( a foot march for peace by the Congress ),cause
"Jail Superintendent Veerabhadra Swamy told presspersons that the trouble broke out after a few inmates , who were praying outside a place of worship in the jail , took serious exception to the disturbance being caused by some inmates belonging to a different faith .","<triplet> a few inmates , who were praying outside a place of worship in the jail , took serious exception to the disturbance being caused by some inmates belonging to a different faith <subj> the trouble broke out <obj> cause","a few inmates , who were praying outside a place of worship in the jail , took serious exception to the disturbance being caused by some inmates belonging to a different faith",the trouble broke out,cause
The government passed a law to protect the rights of workers and ensure fair wages and working conditions.,<triplet> passed <subj> protect <obj> intend,passed,protect,intend
| Photo Credit : — Photo : PTI / Vijay Verma Staff Reporter He was wanted in connection with the murder of BSP MLA,<triplet> in connection with the murder of BSP MLA <subj> He was wanted <obj> cause,in connection with the murder of BSP MLA,He was wanted,cause
"TIRUNELVELI : ‘ Give house sites to Lankan expatriates ’ June 13 , 2013 00:00 IST CPI ( M-L ) members stage demo Demanding free house sites to 18 Sri Lankan expatriate families , Communist Party of India ( Marxist-Leninist ) members staged a demonstration in front of the railway junction here on Tuesday .",<triplet> Demanding free house sites to 18 Sri Lankan expatriate families <subj> Communist Party of India ( Marxist-Leninist ) members staged a demonstration in front of the railway junction here on Tuesday <obj> cause,Demanding free house sites to 18 Sri Lankan expatriate families,Communist Party of India ( Marxist-Leninist ) members staged a demonstration in front of the railway junction here on Tuesday,cause
They protested against the Circle Inspector 's highhandedness .,<triplet> against the Circle Inspector 's highhandedness <subj> They protested <obj> cause,against the Circle Inspector 's highhandedness,They protested,cause
The government has also announced plans to invest in social welfare programs to reduce poverty and inequality.,<triplet> invest <subj> reduce poverty <obj> enable,invest,reduce poverty,enable
Protest against Metro car shed at Charkop,<triplet> against Metro car shed at Charkop <subj> Protest <obj> cause,against Metro car shed at Charkop,Protest,cause
"The government has implemented a series of measures to prevent the illegal trafficking of people, including increased border security and increased penalties.",<triplet> Security <subj> Trafficking <obj> prevent,Security,Trafficking,prevent
Thousands of heavily armed troops have paraded through cities in China ’ s troubled far west with officials there vowing a “ thunderous ” anti-terror crackdown after an apparent upsurge in deadly ethnic violence .,<triplet> an apparent upsurge in deadly ethnic violence <subj> Thousands of heavily armed troops have paraded through cities in China ’ s troubled far west with officials there vowing a “ thunderous ” anti-terror crackdown <obj> cause,an apparent upsurge in deadly ethnic violence,Thousands of heavily armed troops have paraded through cities in China ’ s troubled far west with officials there vowing a “ thunderous ” anti-terror crackdown,cause
"The US State Department said it had been advised, including by public health professionals in Britain, that its health protocols ""would permit us to continue with our G7 activities as planned"".",<triplet> protocols <subj> activities <obj> enable,protocols,activities,enable
The action came in response to a petition filed by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations.,<triplet> filed <subj> action <obj> cause,filed,action,cause
